Time,Latitude,Longitude
18/03/2018 12:23,356983398,1397748054
18/03/2018 12:09,356976556,1397739728
18/03/2018 11:58,356979189,1397740947
18/03/2018 11:52,356980649,1397734518
18/03/2018 11:50,356986468,1397740076
18/03/2018 11:47,356911648,1397802796
18/03/2018 11:38,356912456,1397792746
18/03/2018 10:32,356912865,1397803372
18/03/2018 10:20,356914736,139779333
18/03/2018 10:15,356910953,1397788651
18/03/2018 10:05,357069365,1397777846
18/03/2018 09:59,356634301,1397022597
18/03/2018 09:53,356898136,1397638268
18/03/2018 09:48,356877266,1397056805
18/03/2018 09:43,356756973,139769356
18/03/2018 09:35,356738361,139768287
18/03/2018 09:32,356730458,1397673655
18/03/2018 09:29,356715169,1397661554
18/03/2018 09:26,356712761,1397650002
18/03/2018 09:23,356696049,139762463
18/03/2018 09:20,356695168,1397631497
18/03/2018 09:17,356702748,1397621039
18/03/2018 09:06,356696572,1397627177
18/03/2018 09:00,356684409,1397624867
18/03/2018 08:56,356694617,1397622861
18/03/2018 08:54,356667952,1397602578
18/03/2018 08:39,356670565,1397594051
18/03/2018 08:34,356784193,1397647223
18/03/2018 08:28,356552055,1397099577
18/03/2018 08:20,356867243,1397552484
18/03/2018 08:14,35711826,1397964122
18/03/2018 08:11,357109311,1397970033
18/03/2018 07:46,357114866,1397963868
18/03/2018 07:40,357121195,1397970809
18/03/2018 07:34,357122409,1397970988
18/03/2018 07:30,357127666,1397964579
18/03/2018 07:27,357128353,1397947133
18/03/2018 07:24,357141261,139794342
